12-08 07:40:30.371  3348  3348 D Zygote  : Forked child process 20968
12-08 07:40:30.375  3704  3731 I ActivityManager: Start proc 20968:com.risa.app/u0a256 for pre-top-activity {com.risa.app/com.risa.app.MainActivity}
12-08 07:40:30.387 20968 20968 I chatty  : uid=10256(com.risa.app) expire 122 lines
12-08 07:40:30.440 20912 20919 I adbd    : jdwp connection from 20968
12-08 07:40:30.579 20968 20995 I chatty  : uid=10256(com.risa.app) flutter-worker- expire 8 lines
12-08 07:40:30.628 20968 20996 I chatty  : uid=10256(com.risa.app) 1.raster expire 110 lines
12-08 07:40:30.642 20968 21005 I chatty  : uid=10256(com.risa.app) DartWorker expire 1 line
12-08 07:40:31.082 20968 20991 I chatty  : uid=10256(com.risa.app) RenderThread expire 14 lines
12-08 07:40:35.536 20968 20968 I flutter : EPG: Cache file read, size: 85991294 chars
12-08 07:40:35.536 20968 20968 I flutter : EPG: Starting background parse...
12-08 07:40:36.750 20968 21062 D ProfileInstaller: Installing profile for com.risa.app
12-08 07:40:40.056 20968 20968 I flutter : EPG Miss (cached): "123tv.de@SD"
12-08 07:40:40.057 20968 20968 I flutter : EPG Miss (cached): "1AlmereTV.nl@SD"
12-08 07:40:40.057 20968 20968 I flutter : EPG Miss: "1KZNTV.za@SD"
12-08 07:40:40.057 20968 20968 I flutter : EPG Miss: "MusicChannel.hu@SD"
12-08 07:40:40.057 20968 20968 I flutter : EPG Miss (cached): "1TV.ge@SD"
12-08 07:40:40.058 20968 20968 I flutter : EPG Miss (cached): "1TwenteTV.nl@SD"
12-08 07:40:40.058 20968 20968 I flutter : EPG Miss: "2GB.au@SD"
12-08 07:40:40.058 20968 20968 I flutter : EPG Miss (cached): "2MMonde.ma@SD"
12-08 07:40:40.058 20968 20968 I flutter : EPG Miss (cached): "2MMonde.ma@Plus1"
12-08 07:40:40.058 20968 20968 I flutter : EPG Miss: "2STV.sn@SD"
12-08 07:40:40.058 20968 20968 I flutter : EPG Miss (cached): "2TV.ge@SD"
12-08 07:40:40.058 20968 20968 I flutter : EPG Miss: "2x2.ru@SD"
12-08 07:40:40.059 20968 20968 I flutter : EPG Miss: "3ABNCanada.ca@SD"
12-08 07:40:40.059 20968 20968 I flutter : EPG Miss: "DareToDreamNetwork.us@SD"
12-08 07:40:40.059 20968 20968 I flutter : EPG Miss: "3ABNEnglish.us@SD"
12-08 07:40:40.059 20968 20968 I flutter : EPG Miss: "3ABNFrench.us@SD"
12-08 07:40:40.059 20968 20968 I flutter : EPG Miss: "3ABNInternational.us@SD"
12-08 07:40:40.059 20968 20968 I flutter : EPG Miss: "3ABNKids.us@SD"
12-08 07:40:40.059 20968 20968 I flutter : EPG Miss: "3ABNLatino.us@SD"
12-08 07:40:40.059 20968 20968 I flutter : EPG Miss: "3ABNPraiseHimMusicNetwork.us@SD"
12-08 07:40:40.060 20968 20968 I flutter : EPG Miss: "3ABNProclaimNetwork.us@SD"
12-08 07:40:40.060 20968 20968 I flutter : EPG Miss: "3ABNTVUganda.ug@SD"
12-08 07:40:40.060 20968 20968 I flutter : EPG Miss: "3AW.au@SD"
12-08 07:40:40.060 20968 20968 I flutter : EPG Miss: "3CatCameresdeltemps.es@SD"
12-08 07:40:40.060 20968 20968 I flutter : EPG Miss: "3CatElbunquer.es@SD"
