near_miss_count=414
playlist_id	playlist_name	score	epg_id	epg_name
Tva Sports 2	Tva Sports 2	95.0	jsports2.jp	J Sports 2
E4 Hevc Hb (1080p)	E4 Hevc Hb (1080p)	95.0	e4.uk	E4
S4c Hevc Hb (1080p)	S4c Hevc Hb (1080p)	95.0	s4c.uk	S4C
Tnt Sports 2 Hevc Hb (1080p)	Tnt Sports 2 Hevc Hb (1080p)	95.0	tntsports2.uk	TNT Sports 2
Nrl Tv 24/7 (national Rugby League)	Nrl Tv 24/7 (national Rugby League)	95.0	etv.ru	E TV
Cctv 4 中文国际（欧）eu	Cctv 4 中文国际（欧）eu	95.0	cctv4.ru.minus4	Cctv-4
Good Tv真理台	Good Tv真理台	95.0	good.au	GOOD
Good Tv综合台	Good Tv综合台	95.0	good.au	GOOD
Mbs Tv	Mbs Tv	95.0	etv.ru	E TV
Sun	Sun	95.0	suntv.jp	Sun Tv
Dr.la 1	Dr.la 1	95.0	la1.es	LA 1
It: Rai 1	It: Rai 1	95.0	jone.fr	J-one
It: Sky Cinema Uno	It: Sky Cinema Uno	95.0	skycinema.de	Sky Cinema
It: Super!	It: Super!	95.0	super3.es	SUPER 3
It: Sky Sport 24	It: Sky Sport 24	95.0	skysport.ch	Sky Sport
Tv3 Sport	Tv3 Sport	95.0	vsport+.no	V Sport+
Tv2 Sport	Tv2 Sport	95.0	vsport+.no	V Sport+
Tv2 Sport X	Tv2 Sport X	95.0	tv2sport1.no	TV2 Sport 1
Fi: V Sport Live 2	Fi: V Sport Live 2	95.0	vsport2live.no	V Sport 2 Live
Se: Tv4 Sport Live 2	Se: Tv4 Sport Live 2	95.0	vsport2live.no	V Sport 2 Live
Sky Sports Main Event U	Sky Sports Main Event U	95.0	skysportsmainevent.uk	Sky Sports Main Event
De: Sky Sport U	De: Sky Sport U	95.0	skysport4.de	Sky Sport 4[ Match Time ]
De: Sky Sport Bundesliga U	De: Sky Sport Bundesliga U	95.0	skysportbundesliga.de	Sky Sport Bundesliga
La 1 U	La 1 U	95.0	jone.fr	J-one
France 2 U	France 2 U	95.0	france2.fr	FRANCE 2
France 2 U Hdr	France 2 U Hdr	95.0	france2.fr	FRANCE 2
France 3 U	France 3 U	95.0	france3.fr	FRANCE 3
M6 U	M6 U	95.0	m6.fr	M6
Canal+ Box Office U	Canal+ Box Office U	95.0	canal+boxoffice.fr	CANAL+ BOX OFFICE
Arte U	Arte U	95.0	arte.fr	ARTE
3+ U	3+ U	95.0	3+.ch	3+.ch
4+ U	4+ U	95.0	4+.ch	4+.ch
Tv24 U	Tv24 U	95.0	tv24.ch	TV24
Rtl U	Rtl U	95.0	rtl.be	rtl.be
Il: 5 Sport	Il: 5 Sport	95.0	sports.pk	sports
Il: 5 Sport U	Il: 5 Sport U	95.0	skysport5.nz	SKY Sport 5
Aa+ Tv	Aa+ Tv	95.0	ktv.de	K-tv
Liverpool Tv	Liverpool Tv	95.0	liverpoolfctv.uk	Liverpool FC TV
Tbc 1	Tbc 1	95.0	jone.fr	J-one
Abs Tv	Abs Tv	95.0	etv.ru	E TV
Bbs Tv	Bbs Tv	95.0	etv.ru	E TV
Top Tv	Top Tv	95.0	etv.ru	E TV
Kbs Tv	Kbs Tv	95.0	etv.ru	E TV
Nhk News	Nhk News	95.0	cnews.fr	C News
Via	Via	95.0	ATV.II.de	Via Tv
Kyk Net	Kyk Net	95.0	MNE.at	M-net
1 Kzn	1 Kzn	95.0	jone.fr	J-one
Arg: Axn Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Axn Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	axn.pt	axn.pt
Arg: Disney Xd Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Disney Xd Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	disneyxd.mx	Disney XD
Arg: Espn Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Espn Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	espn.mx	ESPN
Arg: Espn 3 Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Espn 3 Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	espn.br	ESPN
Arg: Espn 4 Extra Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Espn 4 Extra Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	espnextra.br	ESPN Extra
Arg: Star Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Star Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	Star.ca2	Star
Arg: Universal Crime Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Universal Crime Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	universalcrime.mx	Universal Crime
Arg: Fx Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Fx Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	fx.us	fx.us
Arg: H2 Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: H2 Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	h2.ca	h2.ca
Arg: Hbo Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Hbo Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	hbo.ar	hbo.ar
Arg: Hbo 2 Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Hbo 2 Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	hbo.mx	HBO
Arg: Htv Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Htv Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	htv.pe	htv.pe
Arg: Mtv Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Mtv Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	mtv.jp	mtv.jp
Arg: Nat Geo Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Nat Geo Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	natgeo.de	Nat Geo
Arg: Tnt Sports ᴬᴿᴳᴱᴺᵀᴵᴺᴬ	Arg: Tnt Sports ᴬᴿᴳᴱᴺᵀᴵᴺᴬ	95.0	vsport+.no	V Sport+
Arg: Directv Sports Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Directv Sports Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	DIRECTV.SPORTS(DTS7).co	DIRECTV.SPORTS(DTS7).co
Arg: Directv Sports 2 Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Directv Sports 2 Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	DIRECTV.SPORTS(DTS7).co	DIRECTV SPORTS(DTS7)
Arg: Directv Sports+ Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Directv Sports+ Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	DIRECTV.SPORTS(DTS7).co	DIRECTV.SPORTS(DTS7).co
Arg: A&e Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: A&e Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	a&e.mx	a&e.mx
Arg: Amc Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Amc Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	amc.us	amc.us
Arg: I-sat Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: I-sat Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	riksat.gr	Rik Sat
Arg: Warner Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Warner Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	warnertv.es	Warner TV
Arg: Tnt Pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Tnt Pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	tnt.br	tnt.br
Arg: Espn 2pʳᵉᵐⁱᵘᵐ ʜᴅ	Arg: Espn 2pʳᵉᵐⁱᵘᵐ ʜᴅ	95.0	espn.mx	ESPN
Arg: Tnt Sports	Arg: Tnt Sports	95.0	vsport+.no	V Sport+
Arg: Tnt Sports ᴾᴿᴵᴹᴱᴿᴬ ᴬᴿᴳᴱᴺᵀᴵᴺᴬ	Arg: Tnt Sports ᴾᴿᴵᴹᴱᴿᴬ ᴬᴿᴳᴱᴺᵀᴵᴺᴬ	95.0	vsport+.no	V Sport+
Chile: Tnt Sports	Chile: Tnt Sports	95.0	sports2.il	Chile: Tnt Sports 2
Vox 1	Vox 1	95.0	jone.fr	J-one
Vox 2	Vox 2	95.0	vox.de	VOX
Viva Tv (yurimaguas)	Viva Tv (yurimaguas)	95.0	viva.br	Viva
Vz Tv	Vz Tv	95.0	ktv.de	K-tv
Vz Tv (chachapoyas)	Vz Tv (chachapoyas)	95.0	ktv.de	K-tv
Mega Tv (jaen)	Mega Tv (jaen)	95.0	mega.es	Mega
Mega Tv	Mega Tv	95.0	mega.es	Mega
Canal La X	Canal La X	95.0	canal7.ar	Canal+ U
Sg Cinemax	Sg Cinemax	95.0	cinemax.mx	Cinemax
X Sport	X Sport	95.0	sports.pk	sports.pk
